Эмитент,Дата начала размещения,Статус,"Состояние бумаги, eng.",Ломбардный список БР,Isin,Код НРД,Гос. рег. номер,"Номер гос. рег., НРД",Наименование,CFI,Страна заемщика,Сектор заемщика,Страна эмиссии,Страна эмитента,Регион эмитента,Сектор эмитента,Эмитент: реестр МСП,Страна риска,"Дюрация, лет","Дюрация модиф., лет",Дата ближ. возм. погаш.,Дата погашения,Дата ближ. оферты,Дата окончания размещения,Дата регистрации,Дата гос. рег-ции/присвоения,Срок обращения,Дата начала 1-го купона,Дата ближ. купона,Дата ближ. объявления неизв. купона,"Доходность эффект., %","Доходность средневзв., %","НКД, в вал. ном.",Z-спред,Номинал,"Цена, %","Объем эмиссии, шт.","Заявл. объем эмиссии, в вал. ном.","Объем в обращении, в вал. ном",Дневной оборот на МБ,Средний дневной оборот за мес.,Объем торгов,Объем торгов за 2 дня,Объем торгов за 5 дней,Объем торгов за 10 дней,Объем торгов за месяц,Кол-во сделок,Кол-во сделок за 2 дня,Кол-во сделок за 5 дней,Кол-во сделок за 10 дней,Кол-во сделок за месяц,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во дней со сделками за месяц,Тип купона,"Ставка купона, %",Кол-во купонов в год,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Субординированность,Гос. гарантия,Индексируемость номинала,Амортизируемость,Конвертация,Вид обеспечения,Старшинство секьюритизации,Закрытая подписка,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Класс эмитента по выручке,Рейтинг агрег. Эксперт РА,Рейтинг эмиссии Эксперт РА,Рейтинг агрег. АКРА,Рейтинг эмиссии АКРА,target,not_isin,cnt_bonds,fininstId,inn,ogrn,Encumbrance
СФО СБ ФКП,2022-04-29,В обращении,Placed,0.0,RU000A104SE0,RU000A104SE0,6-01-00653-R,6-01-00653-R,СФО СБ ФКП-A-1-об,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2032-05-14,2032-05-14,,2022-04-29,2022-04-28,2022-04-28,Долгосрочные,,2032-05-14,,,,,,10000.0,,665600,6656000000.0,6656000000.0,,,,,,,,,,,,,,,,,Постоянный,1e-06,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,10548,9718186020,1227700064074,0
СФО СФИ 3,2022-10-14,В обращении,Placed,0.0,RU000A105AN6,RU000A105AN6,4-02-00638-R,4-02-00638-R,СФО СФИ 3-2-об,DBVSFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,,,2025-10-13,2025-10-13,,2022-10-14,2022-10-10,2022-10-10,Краткосрочные,,2023-04-25,,,,,,1000.0,,1500000,1500000000.0,1500000000.0,,,,,,,,,,,,,,,,,Плавающий,12.0,4.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,2,14430,9704090374,1217700454861,0
СФО Силициум-2,2022-12-28,В обращении,Placed,0.0,RU000A105Q30,RU000A105Q30,6-04-00666-R,6-04-00666-R,СФО Силициум-2-SI-2,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2025-12-27,2025-12-27,,2022-12-30,2022-12-27,2022-12-27,Краткосрочные,,2025-12-29,,,,,,1000.0,,10000000,10000000000.0,1070635000.0,,,,,,,,,,,,,,,,,Прочий,0.0001,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,2,9220,9729323662,1227700285955,0
СФО Сити Инвест,2022-08-05,В обращении,Placed,0.0,RU000A1052B9,RU000A1052B9,6-01-00664-R,6-01-00664-R,СФО Сити Инвест-01-об,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2026-12-29,2026-12-29,,2022-08-22,2022-08-02,2022-08-02,Среднесрочные,,2026-12-29,,,,,,1000.0,,492000,492000000.0,91721986.4484,,,,,,,,,,,,,,,,,Прочий,1e-07,1.0,USD,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,1,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,9365,9702039887,1217700636548,0
СФО Сити Инвест 6,2022-09-29,В обращении,Placed,0.0,RU000A1058W2,RU000A1058W2,6-01-03184-G,6-01-03184-G,СФО Сити Инвест 6-01-об,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2025-11-03,2025-11-03,,2022-10-14,2022-09-22,2022-09-22,Среднесрочные,,2025-11-03,,,,,,1000.0,,5000000,5000000000.0,4679148000.0,,,,,,,,,,,,,,,,,Прочий,1e-07,1.0,USD,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,9017,9702045087,1227700450515,0
СФО Социального развития,2020-06-30,В обращении,Placed,0.0,RU000A101UU8,RU000A101UU8,4-01-00550-R,4-01-00550-R,СФО СоцРазвития-01-об,DBFSFB,RU,Строительство,RU,RU,г.Москва,Финанс.сервисы,,RU,0.7205,,2024-01-01,2027-01-08,,2020-06-30,2020-06-08,2020-06-08,Долгосрочные,,2023-04-10,,125.889,,,,1000.0,,3216086,3216086000.0,2274383858.34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Постоянный,10.21,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,Прочие активы,Социальные,,НЕТ,НЕТ,1,0,Залог,Старший обеспеченный,0,C,НЕТ,НЕТ,Крупный,,,,,0,0,3,19990,9705140370,1197746755030,0
СФО Спутник Финанс,2022-07-19,В обращении,Placed,0.0,RU000A104VD6,RU000A104VD6,4-01-00655-R,4-01-00655-R,СФО Спутник Финанс-А-об,DBFSFB,RU,,RU,RU,г.Москва,,,RU,3.4,,2027-07-13,2027-07-13,,2022-07-22,2022-06-02,2022-06-02,Среднесрочные,,2023-07-18,,22.0032,,,,1000.0,,600000,600000000.0,440000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Прочий,10.0,4.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,Средний,,,,,0,0,2,9937,9702033451,1217700263428,0
СФО Т-Финанс,2021-01-12,В обращении,Placed,0.0,RU000A102L38,RU000A102L38,4-02-00579-R,4-02-00579-R,СФО Т-финанс-2-об,DBFSFB,RU,Прочие,RU,RU,г.Москва,Финанс.сервисы,Микропредприятие,RU,,,2029-01-02,2029-01-02,,2021-01-13,2020-11-19,2020-11-19,Долгосрочные,,2023-04-11,,,,,,1000.0,,5000,5000000.0,5000000.0,,,,,,,,,,,,,,,,,Прочий,0.4010989,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,0,0,Залог,Младший обеспеченный,0,M,НЕТ,НЕТ,Малый,,,,,0,0,1,18271,9702016417,1207700154420,0
СФО ТехнолИнновации,2022-12-20,В обращении,Placed,0.0,RU000A105N74,RU000A105N74,6-01-00690-R,6-01-00690-R,СФО ТехнолИнновации-А-1,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2032-12-20,2032-12-20,,2022-12-23,2022-12-08,2022-12-08,Долгосрочные,,2032-12-20,,,,,,100000.0,,600000,60000000000.0,51907100000.0,,,,,,,,,,,,,,,,,Прочий,1e-06,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,7257,9729333815,1227700753940,0
СФО Титан,2022-04-22,В обращении,Placed,0.0,RU000A104QW6,RU000A104QW6,4-01-00570-R,4-01-00570-R,СФО Титан-1-об,DBFSFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,Микропредприятие,RU,,,2029-04-15,2029-04-15,,2022-06-06,2020-09-28,2020-09-28,Среднесрочные,,2023-03-20,,,,,,1000.0,,274000,274000000.0,274000000.0,,,,,,,,,,,,,,,,,Постоянный,7.0,12.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,Малый,,,,,0,0,2,18646,9702017192,1207700172481,0
СФО Ф-Капитал,2021-04-08,В обращении,Placed,0.0,RU000A102T30,RU000A102T30,4-01-00591-R,4-01-00591-R,СФО Ф-Капитал-А-об,DBFSFB,RU,Прочие,RU,RU,г.Москва,Финанс.сервисы,Микропредприятие,RU,2.4247,,2026-04-08,2026-04-08,,2021-04-08,2021-02-04,2021-02-04,Среднесрочные,,2023-04-06,,,,,,1000.0,,550000,550000000.0,407577500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Постоянный,8.5,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,1,0,Залог,Старший обеспеченный,0,M,ДА,НЕТ,Микро,,,,,0,0,2,17505,9704000282,1197746534831,0
СФО ФКН-4,2022-12-20,В обращении,Placed,0.0,RU000A105N82,RU000A105N82,4-01-00689-R,4-01-00689-R,СФО ФКН-4-ЗОК-1,DBFSFB,RU,,RU,RU,г.Москва,,,RU,,,2027-08-12,2027-08-12,,2022-12-20,2022-12-12,2022-12-12,Среднесрочные,,2023-03-21,,,,,,1000.0,,500165,500165000.0,458501255.5,,,,,,,,,,,,,,,,,Прочий,0.001,12.0,USD,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,Прочие активы,,,НЕТ,НЕТ,1,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,7197,9704160247,1227700530826,0
СФО ФинИнструменты 1,2023-02-10,В обращении,Placed,0.0,RU000A105TV9,RU000A105TV9,6-02-00669-R-001P,6-02-00669-R-001P,СФО ФинИнструменты1-A01EB,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2029-06-20,2029-06-20,,2023-02-10,2023-01-26,2023-01-26,Среднесрочные,,2029-06-20,,,,,,1000.0,,2437953,2437953000.0,2437953000.0,,,,,,,,,,,,,,,,,Прочий,0.01,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,2,9058,9704125732,1227700139413,0
СФО Цефей-2,2022-12-26,В обращении,Placed,0.0,RU000A105PL8,RU000A105PL8,6-01-00695-R,6-01-00695-R,СФО Цефей-2-А-1-об,DEXXXX,RU,,RU,RU,г.Москва,,,RU,,,2029-03-12,2029-03-12,,2022-12-26,2022-12-23,2022-12-23,Долгосрочные,,2029-03-12,,,,,,1000.0,,16000000,16000000000.0,16000000000.0,,,,,,,,,,,,,,,,,Прочий,1e-06,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,M,НЕТ,НЕТ,,,,,,0,0,1,6836,7730281340,1227700382480,0
СЦТС,2000-11-18,В обращении,,,,,4-02-45053-E,,СЦТС-2-об,,RU,Телекоммуникации,RU,RU,Саратовская область,Телекоммуникации,Малое предприятие,RU,,,2054-02-28,2054-02-28,,2001-01-31,2000-08-31,,Долгосрочные,,,,,,,,600.0,,3333,1999800.0,1999800.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Микро,,,,,0,1,2,30366,6452045537,1026402657082,1
СЭЗ им.С.Орджоникидзе,2020-09-22,В обращении,Placed,0.0,RU000A102556,RU000A102556,4B02-02-45253-E-001P,4B02-02-45253-E-001P,СЭЗ Орджоникидзе-001Р-02,DBFUFB,RU,Машиностроение,RU,RU,Саратовская область,Машиностроение,,RU,3.5671,3.2152,2027-09-14,2027-09-14,,2020-09-22,2020-09-10,2020-09-10,Среднесрочные,,2023-03-21,,10.9467,10.9588,22.68,0.0,1000.0,100.8,500000,500000000.0,500000000.0,112853.0,666022.0,112852.6,724844.1,4956286.3,7322183.0,12654432.4,23.0,58.0,238.0,397.0,730.0,2.0,5.0,10.0,19.0,Постоянный,10.75,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Средний,,,BBB-(RU),,0,0,1,22132,6452019819,1026402654530,1
Салавуш-Алтын,2009-07-23,Дефолт,,,,,4-01-28011-R,,Салавуш-Алтын-1-об,,RU,,RU,RU,Республика Татарстан,,,RU,,,2034-07-23,2034-07-23,,2009-07-23,2009-07-21,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,1,1,1,30946,1644055441,1091644001668,0
Самаратранснефть-терминал,2018-03-26,Дефолт,Placed,0.0,RU000A0ZYZS0,RU000A0ZYZS0,4B02-01-36502-R,4B02-01-36502-R,Самаратранснефть-те-1-боб,DBVUFB,RU,Нефтегазовый,RU,RU,Самарская область,Нефтегазовый,Малое предприятие,RU,0.4356,,2022-09-19,2023-03-20,2023-03-20,2018-03-29,2017-07-10,2017-07-10,Среднесрочные,,2023-03-20,,,,,,1000.0,,5000000,5000000000.0,3380000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Переменный,0.0,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Малый,,,,,1,0,7,29907,6367042944,1046302393610,0
Саммит МФК,2023-02-16,В обращении,Placed,0.0,RU000A105UZ8,RU000A105UZ8,4B02-01-00098-L-001P,4B02-01-00098-L-001P,Саммит МФК-001Р-01,DBFUFB,RU,,RU,RU,г.Москва,,,RU,1.6219,1.3698,2026-01-31,2026-01-31,,2023-02-17,2023-02-09,2023-02-09,Краткосрочные,,2023-03-20,,18.4051,18.5512,10.15,0.0,1000.0,104.08,200000,200000000.0,200000000.0,1139480.0,3550859.0,1139479.9,2591608.6,7113606.3,16967785.7,46161170.4,137.0,279.0,634.0,1398.0,2842.0,2.0,5.0,10.0,13.0,Постоянный,19.5,12.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,1,M,ДА,НЕТ,,ruB+,,,,0,0,1,7291,7728771940,1117746346244,0
Самолет ГК,2022-07-15,В обращении,Placed,0.0,RU000A104YT6,RU000A104YT6,4B02-12-16493-A-001P,4B02-12-16493-A-001P,Самолет ГК-БО-П12,DBFUFB,RU,Строительство,RU,RU,Московская область,Строительство,,RU,2.0247,1.8069,2025-07-11,2025-07-11,,2022-07-15,2022-07-12,2022-07-12,Краткосрочные,,2023-04-14,,12.0541,12.0961,19.24,0.0,1000.0,103.45,15000000,15000000000.0,15000000000.0,37139611.0,29553926.0,43028630.6,73688354.6,198411761.1,304417726.9,561524603.9,806.0,1676.0,4438.0,8918.0,19063.0,2.0,5.0,10.0,19.0,Постоянный,13.25,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,A(RU),A(RU),0,0,8,29115,9731004688,1187746590283,1
Сафмар Ритейл,2020-09-16,В обращении,Placed,0.0,RU000A102424,RU000A102424,4CDE-01-00493-R-001P,4CDE-01-00493-R-001P,Сафмар Ритейл-КО-П01,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,г.Москва,Пищевая промышленность и с/х,,RU,,,2021-06-02,2024-03-11,,2020-09-18,2020-09-08,2020-09-08,Среднесрочные,,2023-07-31,,,,,,1000.0,,36744544,36744544000.0,32047856385.92,,,,,,,,,,,,,,,,,Плавающий,10.9,2.0,RUB,Корп,Коммерческие,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,Старший обеспеченный,1,C,НЕТ,НЕТ,Крупный,,,,,0,0,1,23366,7710971497,5147746317362,1
Сбербанк России,2021-09-27,В обращении,Placed,0.0,RU000A103Q24,RU000A103Q24,4-03-01481-B-002P,4-03-01481-B-002P,Сбербанк-002СУБ-03R,DBVUFB,RU,Банки,RU,RU,г.Москва,Банки,,RU,3.1315,3.121,2026-11-20,2031-11-14,2026-11-20,2021-10-01,2021-05-31,2021-05-31,Долгосрочные,,2023-05-26,,16.898,,62876.71,,10000000.0,100.0,5000,50000000000.0,7610000000.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Переменный,8.5,2.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации кредитных организаций-резидентов,,,1.0,НЕТ,НЕТ,0,0,Необеспеченные,326,1,C,НЕТ,НЕТ,,,,AA-(RU),AA-(RU),0,0,2,7205,7707083893,1027700132195,1
Светофор Групп,2020-08-13,В обращении,Placed,0.0,RU000A1020W2,RU000A1020W2,4B02-02-24350-J-001P,4B02-02-24350-J-001P,Светофор Групп-2-боб,DBFUFB,RU,Технологии,RU,RU,г.Санкт-Петербург,Технологии,Малое предприятие,RU,1.4822,1.3284,2025-08-07,2025-08-07,,2020-09-01,2020-06-29,2020-06-29,Среднесрочные,,2023-05-11,,11.5748,11.6191,7.69,0.0,1000.0,101.3,200000,200000000.0,180000000.0,62869.0,209004.0,62869.14,389837.97,1729839.51,2500179.12,3971088.0,25.0,89.0,235.0,362.0,728.0,2.0,5.0,10.0,19.0,Постоянный,12.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,ДА,Малый,ruBB,,,,0,0,1,24844,7814693830,1177847196141,0
Сегежа ГК,2023-02-03,В обращении,Placed,0.0,RU000A105SP3,RU000A105SP3,4B02-02-87154-H-003P,4B02-02-87154-H-003P,Сегежа Групп-003Р-02R,DBVUFB,RU,"Леспром, бумага",RU,RU,г.Москва,"Леспром, бумага",,RU,1.937,1.7402,2025-05-02,2038-01-15,2025-05-06,2023-02-03,2023-01-23,2023-01-23,Долгосрочные,,2023-05-05,,11.311,11.2482,9.29,0.0,1000.0,99.5,6000000,6000000000.0,6000000000.0,31192300.0,23374036.0,31192300.2,37126689.8,55659671.8,97588323.5,444106695.6,82.0,195.0,720.0,1282.0,3913.0,2.0,5.0,10.0,19.0,Переменный,10.6,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruA+,ruA+,,,0,0,9,22156,9703024202,1207700498279,0
Сейф-Финанс,2023-03-02,В обращении,In placement,0.0,RU000A105WM2,RU000A105WM2,4-01-00609-R-001P,4-01-00609-R-001P,Сейф-Финанс-001P-01,DBVGFB,RU,Технологии,RU,RU,Новосибирская область,Технологии,,RU,0.9425,0.8417,2024-02-29,2025-02-27,2024-03-05,2023-07-30,2022-09-05,2022-09-05,Краткосрочные,,2023-06-01,,11.9668,11.4946,1.58,3.8771,1000.0,100.03,700000,700000000.0,271146000.0,10043.0,14782.0,10043.4,10043.4,10043.4,10043.4,59131.4,5.0,5.0,5.0,5.0,14.0,1.0,1.0,1.0,3.0,Переменный,11.5,4.0,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,0,M,ДА,НЕТ,,'ruBBB+,'ruBBB+,,,0,0,1,13904,5406812997,1215400020967,0
Селектел,2022-11-15,В обращении,Placed,0.0,RU000A105FS4,RU000A105FS4,4B02-02-00575-R-001P,4B02-02-00575-R-001P,Селектел-001Р-02R,DBFUFB,RU,Телекоммуникации,RU,RU,г.Санкт-Петербург,Телекоммуникации,,RU,2.3151,2.0947,2025-11-11,2025-11-11,,2022-11-15,2022-09-12,2022-09-12,Краткосрочные,,2023-05-16,,10.5203,10.453,35.29,0.0,1000.0,102.82,3000000,3000000000.0,3000000000.0,3096206.0,2285630.0,3096206.0,3923173.0,12636630.5,20950043.9,43426986.5,124.0,235.0,639.0,1301.0,2947.0,2.0,5.0,10.0,19.0,Постоянный,11.5,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,ruA+,ruA+,A+(RU),,0,0,2,18189,7842393933,1089847357126,0
Селигдар,2022-11-02,В обращении,Placed,0.0,RU000A105CS1,RU000A105CS1,4B02-01-32694-F-001P,4B02-01-32694-F-001P,Селигдар-001P-01,DBFUFB,RU,Горнодобыча,RU,RU,Республика Саха (Якутия),Горнодобыча,,RU,2.2932,2.0626,2025-10-29,2025-10-29,,2022-11-02,2022-10-31,2022-10-31,Краткосрочные,,2023-05-03,,11.1758,11.143,36.99,0.0,1000.0,99.79,10000000,10000000000.0,10000000000.0,5166632.0,5613193.0,5166631.8,8240124.0,32784161.4,52524669.1,106650669.1,174.0,389.0,1056.0,2117.0,4062.0,2.0,5.0,10.0,19.0,Постоянный,10.8,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruA+,ruA+,,,0,0,1,23333,1402047184,1071402000438,0
СибАвтоТранс,2023-02-02,В обращении,Placed,0.0,RU000A105SZ2,RU000A105SZ2,4B02-01-00677-R-001P,4B02-01-00677-R-001P,СибАвтоТранс-001P-01,DBFUFB,RU,Строительство,RU,RU,Омская область,Строительство,,RU,2.4575,2.0855,2027-01-28,2027-01-28,,2023-02-02,2022-12-26,2022-12-26,Среднесрочные,,2023-05-04,,17.8365,17.9697,16.27,0.0,1000.0,103.0,200000,200000000.0,200000000.0,2026544.0,2907654.0,2026543.6,4976039.6,13701578.5,24311592.3,55245439.4,187.0,386.0,1023.0,1969.0,4676.0,2.0,5.0,10.0,19.0,Постоянный,18.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,,,,,0,0,1,9145,5503168016,1165543084190,1
Сибирский КХП,2019-12-27,В обращении,Placed,0.0,RU000A101947,RU000A101947,4B02-01-00497-R-001P,4B02-01-00497-R-001P,Сибирский КХП-001P-01,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,Омская область,Пищевая промышленность и с/х,Среднее предприятие,RU,1.5973,1.4147,2024-12-20,2024-12-20,,2020-02-04,2019-12-23,2019-12-23,Среднесрочные,,2023-03-24,2024-09-19 00:00:00,12.902,12.8744,24.84,,1000.0,99.88,100000,100000000.0,100000000.0,54958.0,30809.0,54957.6,74947.1,93947.1,234089.6,585378.3,7.0,10.0,13.0,22.0,42.0,2.0,4.0,7.0,13.0,Плавающий,12.25,4.0,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Средний,,,,,0,0,1,22018,5520900173,1145543024770,1
СибирьАвиаКомп,2022-07-22,В обращении,Placed,0.0,RU000A104ZD7,RU000A104ZD7,4-03-11166-F,4-03-11166-F,Сибирь АвиаКомп-А-01-об,DBVUFB,RU,Транспорт,RU,RU,Новосибирская область,Транспорт,,RU,,,2025-07-22,2025-07-22,,2022-07-27,2022-07-14,2022-07-14,Краткосрочные,,2023-07-24,2024-07-19 00:00:00,,,,,1000.0,,13702300,13702300000.0,11851945000.0,,,,,,,,,,,,,,,,,Плавающий,0.01,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,C,НЕТ,НЕТ,Крупный,,,,,0,0,1,7745,5448100656,1025405624430,0
Сибнефтехимтрейд,2022-01-14,В обращении,Placed,0.0,RU000A104DZ7,RU000A104DZ7,4B02-02-00010-L-001P,4B02-02-00010-L-001P,Сибнефтехимтрейд-БО-02,DBVUFB,RU,Нефтегазовый,RU,RU,Тюменская область,Нефтегазовый,,RU,0.8521,0.7156,2025-12-24,2026-12-19,2024-02-03,2022-01-14,2021-12-23,2021-12-23,Среднесрочные,,2023-03-10,2026-11-17 00:00:00,19.0767,19.3912,10.36,,1000.0,97.0,350000,350000000.0,350000000.0,1337434.0,2013122.0,1337433.9,2750583.5,8319568.5,17630866.6,38249322.4,246.0,602.0,1467.0,3032.0,6486.0,2.0,5.0,10.0,19.0,Плавающий,14.0,12.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,M,ДА,НЕТ,Крупный,,,,,0,0,2,18733,7206033362,1067206072108,1
Сибстекло,2022-10-28,В обращении,Placed,0.0,RU000A105C93,RU000A105C93,4B02-03-00373-R-001P,4B02-03-00373-R-001P,Сибстекло-БО-П03,DBVUFB,RU,Прочие,RU,RU,Новосибирская область,Прочие,,RU,0.137,0.1511,2023-10-23,2025-10-12,2023-04-26,2022-10-31,2022-10-18,2022-10-18,Краткосрочные,,2023-03-27,,-9.3612,-9.8719,4.66,0.0,1000.0,103.71,300000,300000000.0,300000000.0,575014.0,765790.0,575014.1,1094910.1,3099564.8,7547041.0,14550014.7,46.0,104.0,300.0,789.0,1340.0,2.0,5.0,10.0,19.0,Переменный,17.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,ДА,Средний,,,BB-(RU),,0,0,2,24839,5406305355,1055406020691,1
